,city,lat,lon,temp,hum,clo,win,country,date
204,jatai,-17.8814,-51.7144,83.34,21,4,3.42,BR,1628887613
205,matara,5.9485,80.5353,77.92,87,100,14.03,LK,1628887615
206,menemen,38.6075,27.0694,82.18,36,0,18.41,TR,1628887617
207,presidencia roque saenz pena,-26.7852,-60.4388,64.53,29,0,4.72,AR,1628887618
208,marawi,7.9986,124.2928,65.64,90,100,2.68,PH,1628887619
209,skowhegan,44.7651,-69.7192,92.75,62,5,3.74,US,1628887621
210,manaquiri,-3.3167,-60.35,77.45,73,100,6.6,BR,1628887622
211,sibolga,1.7427,98.7792,75.67,91,100,3.91,ID,1628887623
212,dongying,37.4564,118.4856,69.15,80,4,4.68,CN,1628887625
213,katangli,51.7102,143.2326,56.1,86,77,7.02,RU,1628887626
214,boende,-0.2167,20.8667,70.48,98,99,1.43,CD,1628887627
215,cienfuegos,22.1461,-80.4356,81.41,89,90,2.3,CU,1628887629
216,pringsewu,-5.3582,104.9744,71.8,97,97,1.79,ID,1628887630
217,alaca,40.1683,34.8425,61.05,73,6,9.28,TR,1628887631
218,kruisfontein,-34.0033,24.7314,50.94,74,95,4.92,ZA,1628887633
219,saldanha,-33.0117,17.9442,51.85,61,0,11.21,ZA,1628887634
220,yagodnoye,62.55,149.6667,68.23,54,57,2.3,RU,1628887635
221,zuwarah,32.9312,12.082,82.13,76,1,11.48,LY,1628887637
222,pitimbu,-7.4706,-34.8086,77.59,76,62,14.85,BR,1628887638
223,tomatlan,19.9333,-105.25,87.19,65,22,9.01,MX,1628887569
224,lincoln,40.8,-96.667,86.67,34,1,9.22,US,1628887623
225,harer,9.3094,42.1258,66.76,61,78,5.68,ET,1628887642
226,kukushtan,57.6464,56.4952,56.82,60,7,5.97,RU,1628887644
227,tarakan,3.3,117.6333,76.69,82,93,5.95,ID,1628887645
228,kamenka,51.3223,42.7678,62.92,93,100,13.85,RU,1628887646
229,tabas,33.5959,56.9244,90.32,13,0,5.99,IR,1628887648
230,port elizabeth,-33.918,25.5701,46.69,81,75,2.3,ZA,1628887649
231,aksu,41.1231,80.2644,78.31,30,100,4.45,CN,1628887651
232,sakaiminato,35.55,133.2333,73.38,94,75,10.36,JP,1628887652
233,ulaanbaatar,47.9077,106.8832,50.13,93,40,0.0,MN,1628887653
